Count   Word
-----   ----
   18   ,
   13   the
   11   it
    9   to
    8   and
    8   her
    7   of
    7   a
    7   she
    5   was
    4   -
    4   in
    4   Alice
    4   or
    3   !
    3   but
    3   with
    3   Rabbit
    3   had
    3   at
    3   that
    3   when
    2   ;
    2   dear
    2   across
    2   mind
    2   nothing
    2   by
    2   on
    2   conversations
    2   pictures
    2   rabbit
    2   ran
    2   as
    2   out
    2   sister
    2   so
    2   Oh
    2   be
    2   for
    2   time
    2   very
    2   book
    2   VERY
    2   thought
    1   before
    1   beginning
    1   burning
    1   chain
    1   close
    1   considering
    1   could
    1   curiosity
    1   daisies
    1   daisy
    1   day
    1   did
    1   do
    1   down
    1   either
    1   eyes
    1   feel
    1   feet
    1   flashed
    1   fortunately
    1   get
    1   getting
    1   have
    1   having
    1   hear
    1   hole
    1   hot
    1   hurried
    1   into
    1   is
    1   itself
    1   field
    1   large
    1   late
    1   looked
    1   made
    1   making
    1   .
    1   much
    1   natural
    1   never
    1   no
    1   nor
    1   :
    1   occurred
    1   ?
    1   A
    1   once
    1   I
    1   ought
    1   just
    1   over
    1   own
    1   peeped
    1   picking
    1   ITS
    1   pink
    1   pleasure
    1   pocket
    1   pop
    1   quite
    1   OF
    1   OUT
    1   reading
    1   remarkable
    1   say
    1   see
    1   seemed
    1   POCKET
    1   shall
    1   So
    1   TOOK
    1   sitting
    1   sleepy
    1   There
    1   started
    1   stupid
    1   suddenly
    1   take
    1   WAISTCOAT
    1   WATCH
    1   then
    1   think
    1   this
    1   White
    1   actually
    1   tired
    1   seen
    1   trouble
    1   twice
    1   under
    1   up
    1   use
    1   after
    1   waistcoat
    1   afterwards
    1   watch
    1   way
    1   well
    1   what
    1   all
    1   whether
    1   bank
    1   without
    1   wondered
    1   worth
    1   would

