Count   Word
-----   ----
    4   the
    3   ,
    2   a
    2   and
    2   as
    2   her
    2   of
    2   she
    1   White
    1   be
    1   by
    1   chain
    1   close
    1   considering
    1   could
    1   daisies
    1   daisy
    1   day
    1   eyes
    1   feel
    1   for
    1   getting
    1   hot
    1   in
    1   made
    1   making
    1   mind
    1   -
    1   own
    1   picking
    1   pink
    1   pleasure
    1   ran
    1   Rabbit
    1   sleepy
    1   stupid
    1   suddenly
    1   So
    1   trouble
    1   up
    1   very
    1   was
    1   well
    1   when
    1   whether
    1   with
    1   worth
    1   would

